borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,supported_rate,total_schooldays,presence_rate,absence_rate,release_rate,mean_score_math,mean_score_ela,diversity_index
Manhattan,03M054,Morningside Heights,M,3,J.H.S. 054 Booker T. Washington,2006,949,49.3,50.7,6.7,20.3,29.8,1.4000000000000057,41.8,16.2,7.5,37.9,186.0,92.44,7.46,0.0,237.45,238.35,69.0578
Manhattan,03M076,Central Harlem,M,3,P.S. 076 A. Philip Randolph,2006,449,48.6,51.4,1.6,76.2,19.8,0.6000000000000085,1.8,14.9,8.2,85.0,186.0,88.25,10.86,0.44,216.15,207.4,37.95359999999999
Manhattan,03M149,Central Harlem,M,3,P.S. 149 Sojourner Truth,2006,315,48.6,51.4,1.3,76.2,21.9,0.2999999999999972,0.3,16.2,5.1,75.9,186.0,89.13,10.25,0.31,206.90000000000003,200.15000000000003,37.12079999999999
Manhattan,03M165,Morningside Heights,M,3,P.S. 165 Robert E. Simon,2006,610,48.0,52.0,4.3,16.4,72.6,0.5,6.2,15.2,24.8,71.2,186.0,91.18,8.5,0.0,228.4,220.85,44.031
Manhattan,03M180,Central Harlem,M,3,P.S. 180 Hugo Newman,2006,509,51.3,48.7,0.2,76.8,21.2,0.5999999999999943,1.2,9.0,8.6,82.7,186.0,91.36,8.06,0.39,236.2,220.85,36.504799999999996
Manhattan,03M191,Lincoln Square,M,3,P.S. 191 Amsterdam,2006,300,49.0,51.0,5.0,41.0,42.7,1.0,10.3,20.3,7.3,78.2,186.0,90.27,8.72,0.67,231.64000000000001,226.30000000000004,63.636199999999995
Manhattan,03M243,Upper West Side,M,3,M.S. 243 Center School,2006,203,50.7,49.3,7.9,23.2,17.2,0.0,51.7,9.4,6.993749999999999,7.3,186.0,94.55,5.45,0.0,257.25,254.4,64.3062
Manhattan,03M245,Upper West Side,M,3,M.S. M245 The Computer School,2006,322,49.1,50.9,9.9,26.1,37.6,0.0,26.4,13.0,1.2,38.6,186.0,95.62,4.38,0.0,237.4,234.8,71.1006
Manhattan,03M247,Upper West Side,M,3,M.S. M247 Dual Language Middle School,2006,165,47.9,52.1,0.0,0.0,100.0,0.0,0.0,21.2,33.9,88.6,186.0,95.15,4.24,0.0,210.75,209.0,0.0
Manhattan,03M250,Upper West Side,M,3,M.S. 250 West Side Collaborative Middle School,2006,198,53.5,46.5,2.0,32.8,56.6,1.0,7.6,18.2,2.0,70.0,186.0,93.37,6.63,0.0,216.55,219.35,56.578399999999995
Manhattan,03M256,Upper West Side,M,3,M.S. 256 Academic & Athletic Excellence,2006,167,46.1,53.9,0.6,59.3,35.3,0.6000000000000085,4.2,18.6,1.2,70.7,186.0,89.88,9.52,0.0,231.64000000000001,226.30000000000004,52.19060000000001
Manhattan,03M258,Upper West Side,M,3,Community Action School - MS 258,2006,227,51.1,48.9,0.9,55.9,39.2,1.7999999999999972,2.2,22.9,2.6,79.9,185.0,92.92,6.19,0.0,209.75,208.35,53.296600000000005
Manhattan,03M333,Upper West Side,M,3,P.S. 333 Manhattan School for Children,2006,646,53.9,46.1,7.9,23.1,23.4,0.9000000000000057,44.7,14.6,1.5,19.2,186.0,93.8,6.05,0.0,245.75,236.75,68.57520000000001
Manhattan,03M334,Upper West Side,M,3,The Anderson School,2006,500,50.0,50.0,18.4,8.4,10.4,0.5999999999999943,62.2,0.4,0.0,1.6,186.0,95.98,3.82,0.0,288.7000000000001,272.04999999999995,56.135200000000005
