borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Manhattan,02M419,Chelsea-Union Sq,M,2,Landmark High School,2006,431,50.3,49.7,2.6,31.6,60.3,1.5999999999999943,3.9,17.6,4.2,61.0,170.0,80.43,19.33,0.0,174.0,67.24,14.94,53.40820000000001
Manhattan,02M420,Gramercy,M,2,High School for Health Professions and Human Servi,2006,1474,69.1,30.9,22.5,25.0,44.5,3.9000000000000057,4.1,5.9,3.7,66.2,170.0,88.5,11.43,0.0,614.0,82.57,9.77,68.5648
Manhattan,02M425,Lower Manhattan,M,2,Leadership and Public Service High School,2006,683,54.3,45.7,11.4,27.5,54.2,1.0,5.9,14.9,4.0,50.2,170.0,82.94,17.06,0.0,241.0,70.54,16.6,61.4034
Manhattan,02M439,Chelsea-Union Sq,M,2,Manhattan Village Academy,2006,402,63.7,36.3,6.0,28.9,59.5,1.0999999999999943,4.5,8.5,3.7,62.3,172.0,92.15,6.08,1.52,143.0,81.82,2.1,55.6708
Manhattan,02M449,Lenox Hill,M,2,Vanguard High School,2006,382,53.7,46.3,1.6,32.5,53.7,3.7999999999999825,8.4,19.9,5.2,62.0,169.0,83.56,16.17,0.0,129.0,70.54,21.71,59.724999999999994
Manhattan,02M459,Lenox Hill,M,2,Manhattan International High School,2006,341,54.0,46.0,27.6,13.8,44.9,0.19999999999998866,13.5,0.3,53.4,68.9,170.0,91.62,8.08,0.0,108.0,71.3,7.41,68.49499999999999
Manhattan,02M475,Lower Manhattan,M,2,Stuyvesant High School,2006,3031,44.1,55.9,62.0,2.2,3.3,0.2999999999999972,32.2,0.1,0.1,18.2,170.0,97.19,2.78,0.0,1544.0,97.6,0.65,51.03340000000001
Manhattan,02M489,Lower Manhattan,M,2,High School of Economics and Finance,2006,783,47.9,52.1,25.3,23.8,39.6,1.5999999999999943,9.7,10.1,5.4,59.5,170.0,87.52,12.35,0.0,261.0,85.44,9.2,71.28659999999999
Manhattan,02M500,Murray Hill-Kips Bay,M,2,Unity Center for Urban Technologies,2006,207,58.0,42.0,1.4,45.4,50.7,1.5,1.0,16.4,6.3,73.3,170.0,79.19,20.81,0.0,90.0,36.67,36.67,53.6314
Manhattan,02M519,Lenox Hill,M,2,Talent Unlimited High School,2006,521,75.2,24.8,1.7,35.5,40.9,2.700000000000003,19.2,1.5,1.0,44.5,176.0,89.58,7.92,2.32,147.0,87.76,4.08,66.88119999999999
Manhattan,02M520,Chinatown,M,2,Murry Bergtraum High School for Business Careers,2006,2920,49.3,50.7,19.8,27.3,47.9,1.7000000000000028,3.3,12.5,10.7,73.1,170.0,82.52,17.44,0.0,1132.0,71.02,14.75,65.54480000000001
Manhattan,02M529,Midtown,M,2,Jacqueline Kennedy Onassis High School,2006,691,61.8,38.2,5.1,25.9,63.5,1.5999999999999943,3.9,11.0,4.9,70.8,170.0,81.56,18.29,0.0,250.0,74.4,9.2,52.5316
Manhattan,02M531,Midtown,M,2,Repertory Company High School for Theatre Arts,2006,188,77.7,22.3,3.2,45.2,42.6,3.700000000000003,5.3,8.0,3.2,61.2,170.0,90.81,9.19,0.0,81.0,67.9,24.69,60.90180000000001
Manhattan,02M542,Clinton,M,2,Manhattan Bridges High School,2006,419,48.7,51.3,0.7,0.7,98.3,0.2999999999999972,0.0,0.5,72.1,84.1,170.0,87.23,12.05,0.48,1.0,0.0,0.0,3.3603999999999967
Manhattan,02M543,Chinatown,M,2,New Design High School,2006,389,55.8,44.2,4.9,31.9,55.0,3.799999999999997,4.4,17.0,3.1,79.6,170.0,85.98,13.49,0.26,4.0,0.0,0.0,58.995799999999996
Manhattan,02M544,Clinton,M,2,Independence High School,2006,483,53.6,46.4,3.7,40.8,49.5,0.20000000000000284,5.8,7.0,4.3,65.8,,,,,443.0,26.64,13.54,58.3774
Manhattan,02M545,Chinatown,M,2,High School for Dual Language and Asian Studies,2006,269,48.3,51.7,86.2,4.1,5.2,1.5,3.0,0.7,51.3,73.7,170.0,95.2,4.43,0.0,,,,25.144600000000004
Manhattan,02M551,Governors Island,M,2,Urban Assembly New York Harbor School,2006,400,38.0,62.0,1.3,27.5,68.0,2.200000000000003,1.0,8.8,13.8,73.2,,,,,1.0,0.0,0.0,46.12219999999999
Manhattan,02M580,Lower Manhattan,M,2,Richard R. Green High School of Teaching,2006,663,67.4,32.6,3.0,37.1,53.2,3.1999999999999886,3.5,13.1,2.9,78.1,170.0,85.08,14.92,0.0,355.0,61.41,10.14,57.6186
Manhattan,02M600,Chelsea-Union Sq,M,2,The High School of Fashion Industries,2006,1667,91.3,8.7,3.8,34.2,51.7,5.0,5.3,9.4,3.2,67.7,170.0,87.92,12.08,0.0,798.0,77.57,8.77,60.8994
