borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Brooklyn,13K265,Fort Greene,K,13,Dr. Susan S. McKinney Secondary School of the Arts,2010,493,62.5,37.5,0.4,73.2,24.5,0.6999999999999886,1.2,18.7,2.4,83.3,180.0,82.23,13.84,3.72,299.0,78.26,10.37,40.394200000000005
Brooklyn,13K350,DUMBO-Downtown Brooklyn,K,13,Urban Assembly High School of Music and Art,2010,391,57.0,43.0,2.0,70.3,24.3,2.6000000000000085,0.8,20.7,3.8,76.0,169.0,82.01,17.2,0.53,285.0,76.14,9.47,44.56020000000001
Brooklyn,13K412,Clinton Hill,K,13,"Brooklyn Community High School of Communication, Arts and Media",2010,467,53.1,46.9,0.6,81.4,15.6,1.3000000000000114,1.1,16.7,1.9,71.8,171.0,83.77,16.01,0.0,158.0,56.96,2.53,31.274199999999986
Brooklyn,13K419,DUMBO-Downtown Brooklyn,K,13,"Science Skills Center High School for Science, Technology and Creative Arts",2010,627,41.1,58.9,7.2,75.9,12.3,2.0,2.6,14.2,7.7,71.2,168.0,84.39,15.29,0.16,872.0,72.25,10.21,40.25300000000001
Brooklyn,13K430,Fort Greene,K,13,Brooklyn Technical High School,2010,5140,41.6,58.4,60.4,10.7,7.7,0.20000000000000284,21.0,0.8,0.1,64.3,168.0,95.68,4.21,0.1,4208.0,95.15,0.57,57.3702
Brooklyn,13K439,DUMBO-Downtown Brooklyn,K,13,Brooklyn International High School,2010,388,52.3,47.7,32.7,20.1,38.1,0.09999999999999433,9.0,0.0,84.8,93.2,168.0,93.99,6.01,0.0,395.0,87.34,4.56,69.9408
Brooklyn,13K483,DUMBO-Downtown Brooklyn,K,13,The Urban Assembly School for Law and Justice,2010,458,65.5,34.5,1.1,82.5,15.1,0.6000000000000085,0.7,12.9,1.3,81.0,168.0,91.54,8.24,0.0,402.0,89.8,1.99,29.636800000000008
Brooklyn,13K499,Crown Heights North,K,13,ACORN Community High School,2010,744,44.8,55.2,1.7,83.6,12.8,1.0,0.9,16.9,3.4,89.3,168.0,81.28,18.72,0.0,612.0,74.02,10.78,28.42500000000001
Brooklyn,13K527,DUMBO-Downtown Brooklyn,K,13,Urban Assembly Institute of Math and Science for Y,2010,397,100.0,0.0,4.3,81.4,11.3,1.0,2.0,9.8,0.8,78.5,179.0,90.66,6.31,2.78,,,,32.22859999999999
Brooklyn,13K595,Bedford-Stuyvesant,K,13,Bedford Academy High School,2010,363,55.9,44.1,1.7,90.1,6.9,1.0,0.3,3.9,0.3,66.6,167.0,90.96,8.22,0.55,346.0,94.51,2.6,18.30400000000001
Brooklyn,13K605,DUMBO-Downtown Brooklyn,K,13,George Westinghouse Career and Technical Education,2010,929,25.0,75.0,2.5,79.2,15.4,1.0999999999999943,1.8,15.6,1.4,79.3,168.0,81.59,18.3,0.0,887.0,61.33,12.74,34.795
Brooklyn,13K670,Clinton Hill,K,13,Benjamin Banneker Academy,2010,832,55.4,44.6,2.2,89.3,8.1,0.20000000000000284,0.2,2.3,0.4,68.8,168.0,89.72,10.16,0.0,951.0,94.85,2.52,19.549799999999983
Brooklyn,13K674,DUMBO-Downtown Brooklyn,K,13,"City Polytechnic High School of Engineering, Architecture, and Technology",2010,246,19.9,80.1,8.5,62.6,24.4,0.0,4.5,13.4,4.9,71.8,172.0,87.08,11.67,0.83,,,,53.93380000000001
Brooklyn,14K071,Williamsburg,K,14,Juan Morel Campos Secondary School,2010,877,47.2,52.8,0.2,17.7,78.0,0.5999999999999943,3.5,25.9,25.2,93.2,181.0,82.77,13.27,3.96,367.0,56.68,17.17,35.9006
Brooklyn,14K449,East Williamsburg,K,14,"Brooklyn Latin School, The",2010,336,45.2,54.8,35.7,28.9,20.5,1.8000000000000114,13.1,1.2,0.3,62.3,169.0,95.2,4.8,0.0,102.0,96.08,0.0,72.952
Brooklyn,14K454,East Williamsburg,K,14,Green School: An Academy for Environmental Careers,2010,361,54.0,46.0,1.1,49.3,46.8,1.1000000000000083,1.7,17.5,7.8,78.4,168.0,81.9,17.82,0.0,198.0,57.58,15.15,53.739599999999996
Brooklyn,14K474,Bushwick,K,14,PROGRESS High School for Professional Careers,2010,1003,53.4,46.6,0.8,31.5,66.2,0.5999999999999943,0.9,12.9,17.4,86.9,167.0,81.85,18.15,0.0,897.0,68.45,13.82,46.23499999999999
Brooklyn,14K477,Bushwick,K,14,School for Legal Studies,2010,810,53.8,46.2,0.9,61.6,35.6,0.8000000000000114,1.1,14.2,4.3,76.7,168.0,80.33,19.67,0.0,628.0,64.97,19.59,49.354200000000006
Brooklyn,14K478,Bushwick,K,14,"The High School for Enterprise, Business and Technology",2010,950,32.8,67.2,2.4,38.5,56.6,0.5999999999999943,1.9,13.4,9.9,84.9,168.0,88.12,11.78,0.0,655.0,89.62,2.9,53.044599999999996
Brooklyn,14K488,Williamsburg,K,14,Brooklyn Preparatory High School,2010,380,52.9,47.1,1.6,65.3,30.8,0.7000000000000172,1.6,17.4,2.4,81.6,168.0,86.86,13.14,0.0,296.0,82.77,7.77,47.81660000000001
Brooklyn,14K558,Williamsburg,K,14,Williamsburg High School for Architecture and Design,2010,428,28.3,71.7,1.9,39.3,55.8,0.20000000000000284,2.8,14.7,7.9,89.4,168.0,87.97,12.03,0.0,359.0,78.83,10.58,53.30380000000001
Brooklyn,14K561,Williamsburg,K,14,Williamsburg Preparatory School,2010,539,52.3,47.7,1.1,30.4,59.2,0.20000000000000284,9.1,12.2,3.7,90.4,168.0,89.74,9.7,0.19,404.0,87.87,7.67,54.871399999999994
Brooklyn,14K586,East Williamsburg,K,14,Lyons Community School,2010,544,47.1,52.9,0.7,44.7,52.9,0.5999999999999943,1.1,19.3,14.7,78.4,181.0,80.96,15.16,3.7,8.0,0.0,0.0,52.014399999999995
Brooklyn,14K610,Williamsburg,K,14,Automotive High School,2010,881,4.8,95.2,1.4,67.0,29.6,0.4000000000000057,1.6,24.0,5.3,73.0,168.0,78.16,21.84,0.0,873.0,58.19,17.98,46.301599999999986
Brooklyn,14K614,Bushwick,K,14,Young Women's Leadership School of Brooklyn,2010,198,100.0,0.0,0.5,63.1,34.3,2.0999999999999943,0.0,17.2,7.1,74.0,181.0,92.39,7.61,0.0,,,,48.372400000000006
Brooklyn,14K685,Williamsburg,K,14,El Puente Academy for Peace and Justice,2010,200,55.5,44.5,1.5,9.0,89.0,0.0,0.5,21.5,16.0,84.5,177.0,85.93,14.07,0.0,142.0,74.65,4.23,19.955000000000002
Brooklyn,15K429,DUMBO-Downtown Brooklyn,K,15,Brooklyn School for Global Studies,2010,424,47.2,52.8,1.4,52.1,41.7,1.2999999999999972,3.5,25.7,5.0,70.5,181.0,79.58,15.26,5.16,386.0,59.59,10.36,55.308
Brooklyn,15K448,Carroll Gardens-Red Hook,K,15,Brooklyn Secondary School for Collaborative Studie,2010,697,41.2,58.8,4.0,34.0,47.2,1.2999999999999972,13.5,30.8,5.0,67.5,182.0,84.18,11.03,4.79,235.0,85.53,5.11,64.16219999999998
Brooklyn,15K462,Park Slope-Gowanus,K,15,Secondary School for Law,2010,522,60.0,40.0,2.1,63.8,29.1,0.0,5.0,14.9,4.2,70.5,181.0,81.55,11.84,6.6,337.0,73.0,7.42,50.53339999999999
Brooklyn,15K463,Park Slope-Gowanus,K,15,Secondary School for Journalism,2010,389,57.8,42.2,8.2,41.1,45.2,0.4000000000000057,5.1,15.9,18.8,81.1,181.0,83.07,11.38,5.29,362.0,72.1,9.67,61.743399999999994
Brooklyn,15K464,Park Slope-Gowanus,K,15,Park Slope Collegiate,2010,426,46.0,54.0,6.3,35.4,51.2,0.7999999999999972,6.3,18.3,8.7,86.7,181.0,79.66,15.01,5.33,338.0,71.6,10.06,60.4538
Brooklyn,15K497,DUMBO-Downtown Brooklyn,K,15,School for International Studies,2010,481,47.4,52.6,4.0,39.9,41.2,0.30000000000001137,14.6,16.8,14.3,76.9,181.0,84.39,11.18,4.22,260.0,70.0,15.38,64.81300000000002
Brooklyn,15K519,DUMBO-Downtown Brooklyn,K,15,Cobble Hill School of American Studies,2010,677,59.5,40.5,1.8,72.4,21.6,0.3999999999999915,3.8,20.7,5.8,76.5,168.0,76.09,23.91,0.0,630.0,61.9,18.25,42.738399999999984
Brooklyn,15K656,DUMBO-Downtown Brooklyn,K,15,Brooklyn High School of the Arts,2010,669,62.6,37.4,1.9,75.2,19.6,0.5999999999999801,2.7,7.5,0.1,64.1,168.0,90.12,9.88,0.0,544.0,83.82,4.96,39.495400000000004
Brooklyn,15K667,Sunset Park West,K,15,Sunset Park High School,2010,693,51.4,48.6,4.5,6.9,80.1,0.2999999999999972,8.2,21.9,13.1,84.9,169.0,89.0,10.56,0.15,,,,34.48800000000001
Brooklyn,16K455,Bedford-Stuyvesant,K,16,Boys and Girls High School,2010,1943,37.2,62.8,0.7,89.4,8.2,0.8999999999999915,0.8,20.5,2.4,68.6,168.0,74.58,25.31,0.06,2832.0,49.79,23.98,19.384600000000006
Brooklyn,16K498,Bedford-Stuyvesant,K,16,Brooklyn High School for Law and Technology,2010,413,51.3,48.7,0.2,76.0,23.5,0.2999999999999972,0.0,18.9,4.6,88.0,167.0,85.11,14.64,0.0,466.0,69.74,11.59,36.7162
Brooklyn,16K688,Bedford-Stuyvesant,K,16,The Brooklyn Academy of Global Finance,2010,144,45.1,54.9,0.0,69.4,27.8,1.3999999999999917,1.4,16.7,3.5,72.3,169.0,75.17,23.45,0.0,,,,44.068799999999996
Brooklyn,17K382,Flatbush,K,17,Academy for College Preparation and Career Explora,2010,563,45.5,54.5,0.7,91.5,5.7,0.09999999999999433,2.0,11.0,6.2,54.3,181.0,83.81,11.74,4.45,139.0,84.17,4.32,15.907599999999999
Brooklyn,17K408,Flatbush,K,17,Academy of Hospitality and Tourism,2010,310,48.4,51.6,1.0,82.6,14.8,1.4210854715202004e-14,1.6,13.2,10.0,63.1,168.0,78.98,20.7,0.0,166.0,71.69,3.61,29.546400000000006
Brooklyn,17K524,Crown Heights South,K,17,International High School at Prospect Heights,2010,433,43.4,56.6,28.4,27.3,32.1,0.19999999999998866,12.0,2.3,90.5,88.2,165.0,88.59,10.68,0.49,359.0,58.77,10.58,72.73700000000001
Brooklyn,17K528,Crown Heights South,K,17,The High School for Global Citizenship,2010,385,51.7,48.3,0.8,87.0,10.6,0.6000000000000085,1.0,13.2,5.7,81.5,168.0,84.03,15.97,0.0,404.0,69.55,15.84,23.1664
Brooklyn,17K531,Prospect Lefferts Gardens,K,17,"School for Human Rights, The",2010,382,48.7,51.3,0.5,90.1,6.8,1.4210854715202004e-14,2.6,12.0,5.5,77.6,181.0,89.12,6.1,4.24,249.0,79.12,11.24,18.28740000000001
Brooklyn,17K537,Flatbush,K,17,High School for Youth and Community Development at,2010,398,38.2,61.8,0.8,86.4,9.8,2.0,1.0,13.3,7.5,81.6,168.0,86.05,13.7,0.0,417.0,63.55,15.83,24.3336
Brooklyn,17K539,Flatbush,K,17,High School for Service & Learning at Erasmus,2010,405,40.2,59.8,0.0,6.4,93.3,0.2999999999999972,0.0,16.5,7.9,76.0,168.0,85.54,14.21,0.0,442.0,78.73,13.35,12.540600000000012
Brooklyn,17K543,Flatbush,K,17,"Science, Technology and Research Early College High School at Erasmus",2010,509,48.5,51.5,3.1,83.7,9.6,2.800000000000012,0.8,2.4,,81.2,181.0,93.04,2.58,4.17,341.0,99.12,0.29,28.840599999999995
Brooklyn,17K546,Prospect Lefferts Gardens,K,17,High School for Public Service: Heroes of Tomorrow,2010,407,76.2,23.8,1.5,86.5,10.3,1.5,0.2,3.7,0.2,72.4,169.0,91.04,8.71,0.0,355.0,95.21,1.41,24.071199999999994
Brooklyn,17K547,Crown Heights South,K,17,Brooklyn Academy of Science and the Environment,2010,444,47.3,52.7,2.5,83.3,11.9,0.7000000000000028,1.6,9.9,5.9,81.3,168.0,89.77,10.23,0.0,417.0,76.26,7.91,29.102000000000004
Brooklyn,17K548,Crown Heights South,K,17,Brooklyn School for Music & Theatre,2010,396,69.7,30.3,0.8,84.6,13.4,0.4000000000000057,0.8,10.6,0.5,77.0,168.0,85.9,13.84,0.0,344.0,81.98,4.94,26.61840000000002
Brooklyn,17K590,Crown Heights South,K,17,Medgar Evers College Preparatory School,2010,1032,56.6,43.4,0.5,96.5,2.8,0.0,0.2,0.2,0.0,82.8,180.0,88.22,6.72,4.97,628.0,93.79,4.14,6.796199999999997
Brooklyn,17K600,Crown Heights South,K,17,Clara Barton High School,2010,1746,77.0,23.0,1.5,90.5,6.9,0.5,0.6,10.7,6.9,79.9,168.0,88.71,11.29,0.0,1984.0,71.77,13.05,17.592799999999986
Brooklyn,18K563,East Flatbush,K,18,It Takes a Village Academy,2010,372,52.7,47.3,3.5,89.5,6.2,0.5,0.3,8.9,38.2,87.8,169.0,89.54,10.46,0.0,10.0,0.0,0.0,19.387199999999993
Brooklyn,18K566,Canarsie,K,18,Brooklyn Generation School,2010,315,36.2,63.8,2.5,87.0,8.9,0.2999999999999972,1.3,18.7,5.1,64.2,168.0,83.99,15.69,0.0,9.0,0.0,0.0,23.437600000000003
Brooklyn,18K567,Canarsie,K,18,Brooklyn Theatre Arts High School,2010,331,62.2,37.8,0.0,83.7,13.9,0.2999999999999972,2.1,21.5,3.3,80.2,168.0,87.84,11.85,0.0,6.0,0.0,0.0,27.96599999999998
Brooklyn,18K569,East Flatbush,K,18,Kurt Hahn Expeditionary Learning School,2010,306,35.9,64.1,0.3,88.2,7.2,3.0,1.3,12.4,9.8,78.4,169.0,82.55,17.11,0.0,11.0,0.0,0.0,21.581399999999995
Brooklyn,18K576,Canarsie,K,18,Victory Collegiate High School,2010,332,49.7,50.3,1.2,88.6,8.1,0.30000000000001137,1.8,13.9,5.1,71.6,168.0,88.58,11.11,0.0,7.0,0.0,0.0,20.79660000000001
Brooklyn,18K617,Canarsie,K,18,High School for Innovation in Advertising and Media,2010,241,33.6,66.4,0.8,83.0,11.2,4.599999999999994,0.4,21.2,8.7,72.1,175.0,80.25,17.7,1.65,,,,29.636000000000006
Brooklyn,18K629,East Flatbush,K,18,Cultural Academy for the Arts and Sciences,2010,226,50.9,49.1,2.2,85.4,10.6,0.8999999999999915,0.9,20.4,8.8,90.5,169.0,84.85,14.72,0.0,4.0,0.0,0.0,25.880199999999974
Brooklyn,18K633,Canarsie,K,18,High School for Medical Professions,2010,347,80.7,19.3,1.7,86.5,10.7,0.5,0.6,9.5,3.7,77.7,169.0,91.93,8.07,0.0,,,,23.997599999999984
Brooklyn,18K637,Canarsie,K,18,Academy for Conservation and the Environment,2010,187,49.7,50.3,1.6,85.0,11.8,1.4210854715202004e-14,1.6,20.9,6.4,78.5,174.0,80.42,18.52,0.53,,,,26.306399999999996
Brooklyn,18K642,Canarsie,K,18,Urban Action Academy,2010,246,40.7,59.3,2.0,80.1,15.9,0.4000000000000057,1.6,13.8,13.4,88.8,168.0,82.35,17.65,0.0,,,,33.24460000000001
Brooklyn,19K409,East New York,K,19,East New York Family Academy,2010,438,55.7,44.3,0.9,63.7,33.1,0.6999999999999886,1.6,5.3,0.7,83.5,181.0,87.59,7.73,4.45,300.0,86.33,2.67,48.4284
Brooklyn,19K502,East New York,K,19,FDNY High School for Fire and Life Safety,2010,400,20.0,80.0,1.0,76.5,20.8,0.7000000000000028,1.0,17.0,5.3,81.7,168.0,81.2,18.54,0.0,343.0,59.77,20.12,37.12620000000001
Brooklyn,19K504,East New York,K,19,High School for Civil Rights,2010,426,43.0,57.0,1.6,74.6,22.8,0.5000000000000142,0.5,15.7,9.2,72.8,168.0,75.18,24.58,0.0,395.0,64.05,15.95,39.119399999999985
Brooklyn,19K507,East New York,K,19,Performing Arts and Technology High School,2010,420,49.5,50.5,0.5,80.0,17.1,1.0,1.4,19.3,5.0,77.7,168.0,79.86,19.91,0.0,392.0,74.23,11.22,33.04379999999999
Brooklyn,19K510,East New York,K,19,World Academy for Total Community Health High Scho,2010,412,64.3,35.7,1.2,82.5,15.3,0.7999999999999972,0.2,16.5,3.9,83.9,168.0,78.32,21.68,0.0,364.0,61.26,10.71,29.57540000000001
Brooklyn,19K583,Cypress Hills,K,19,Multicultural High School,2010,415,49.9,50.1,0.0,1.0,99.0,0.0,0.0,0.7,90.1,83.0,166.0,87.08,12.68,0.0,6.0,0.0,0.0,1.980000000000004
Brooklyn,19K615,East New York,K,19,Transit Tech Career and Technical Education High School,2010,1458,17.4,82.6,4.0,71.3,22.6,0.6999999999999886,1.4,13.4,2.5,75.9,169.0,87.11,12.82,0.0,1420.0,74.44,10.07,43.871
Brooklyn,19K618,Cypress Hills,K,19,Academy of Innovative Technology,2010,302,34.4,65.6,8.6,36.4,50.7,0.7000000000000028,3.6,19.5,15.2,95.5,169.0,87.88,11.78,0.0,2.0,0.0,0.0,60.1714
Brooklyn,19K639,Cypress Hills,K,19,Brooklyn Lab School,2010,314,40.8,59.2,0.6,32.5,65.3,0.2999999999999972,1.3,19.7,15.3,85.4,169.0,81.73,18.27,0.0,2.0,0.0,0.0,46.7752
Brooklyn,19K659,Cypress Hills,K,19,Cypress Hills Collegiate Preparatory School,2010,433,52.7,47.3,7.6,18.0,70.2,1.6999999999999886,2.5,11.5,13.4,74.0,168.0,80.48,19.52,0.0,214.0,58.41,7.48,46.810599999999994
Brooklyn,19K660,East New York,K,19,W. H. Maxwell Career and Technical Education High,2010,759,68.1,31.9,0.8,71.7,25.0,1.5999999999999943,0.9,21.6,4.3,79.6,168.0,76.66,23.34,0.0,888.0,49.66,24.77,42.30099999999999
Brooklyn,19K683,East New York,K,19,"The School for Classics: An Academy of Thinkers, Writers and Performers",2010,238,59.7,40.3,10.5,51.7,37.8,0.0,0.0,16.4,9.7,93.3,168.0,87.66,12.34,0.0,,,,57.8802
Brooklyn,20K445,Bensonhurst West,K,20,New Utrecht High School,2010,3218,40.3,59.7,34.3,6.0,28.8,0.10000000000000853,30.8,14.3,24.5,53.6,168.0,80.99,19.01,0.0,2720.0,69.63,8.82,70.0942
Brooklyn,20K485,Bay Ridge,K,20,High School of Telecommunication Arts and Technolo,2010,1297,46.3,53.7,18.4,10.3,54.9,0.5,15.9,18.0,5.6,79.7,168.0,90.75,8.63,0.55,1131.0,80.55,7.34,62.88280000000002
Brooklyn,20K490,Bay Ridge,K,20,Fort Hamilton High School,2010,4353,45.3,54.7,29.6,5.0,30.3,0.6999999999999886,34.4,11.9,21.7,48.5,168.0,90.45,9.53,0.0,4159.0,69.8,18.51,69.969
Brooklyn,20K505,Borough Park,K,20,Franklin Delano Roosevelt High School,2010,3412,41.7,58.3,41.5,8.6,31.4,0.7000000000000028,17.8,11.2,41.6,74.2,168.0,84.79,14.64,0.55,3398.0,59.56,25.72,69.00500000000001
Brooklyn,20K609,Borough Park,K,20,Urban Assembly School for Criminal Justice,2010,295,100.0,0.0,33.6,34.6,22.0,0.2999999999999972,9.5,15.9,12.5,84.8,181.0,92.44,7.22,0.34,,,,70.9954
Brooklyn,21K337,Gravesend,K,21,International High School at Lafayette,2010,333,47.1,52.9,30.6,20.7,27.3,0.10000000000000853,21.3,1.2,88.0,85.0,168.0,90.63,9.37,0.0,213.0,59.62,10.8,74.36160000000001
Brooklyn,21K344,West Brighton,K,21,Rachel Carson High School for Coastal Studies,2010,468,48.1,51.9,12.2,22.2,26.9,0.0,38.7,12.2,12.8,79.6,168.0,82.42,17.36,0.0,320.0,68.44,7.5,71.37020000000001
Brooklyn,21K348,Gravesend,K,21,High School of Sports Management,2010,341,10.3,89.7,2.9,64.8,24.9,0.10000000000000853,7.3,18.5,2.9,79.0,168.0,84.64,15.06,0.0,190.0,80.53,7.37,51.192400000000006
Brooklyn,21K410,West Brighton,K,21,Abraham Lincoln High School,2010,2617,44.0,56.0,18.0,34.2,20.6,0.5999999999999943,26.6,11.0,19.5,55.9,167.0,87.1,12.9,0.0,2503.0,62.52,18.94,73.7408
Brooklyn,21K468,Gravesend,K,21,Kingsborough Early College School,2010,403,44.7,55.3,6.9,27.0,22.8,0.4000000000000057,42.9,13.6,3.2,80.6,181.0,91.71,6.53,1.76,,,,68.6298
Brooklyn,21K525,Midwood,K,21,Edward R. Murrow High School,2010,4019,58.2,41.8,25.6,24.9,17.0,0.2999999999999972,32.2,13.8,9.1,19.6,168.0,89.53,10.45,0.0,3634.0,78.78,9.11,73.98700000000001
Brooklyn,21K540,Gravesend,K,21,John Dewey High School,2010,2613,51.0,49.0,36.7,31.2,19.9,0.2999999999999829,11.9,8.7,19.2,55.9,168.0,88.45,10.92,0.59,2549.0,65.67,15.57,71.4196
Brooklyn,21K559,Gravesend,K,21,Life Academy High School for Film and Music,2010,219,51.6,48.4,5.9,42.0,34.2,0.5,17.4,17.8,3.7,80.5,168.0,84.65,15.35,0.0,2.0,0.0,0.0,67.28540000000001
Brooklyn,21K572,Gravesend,K,21,Expeditionary Learning School for Community Leader,2010,210,45.7,54.3,16.7,20.0,45.2,0.0,18.1,17.6,23.3,69.2,169.0,83.42,16.08,0.0,9.0,0.0,0.0,69.5046
Brooklyn,21K620,Brighton Beach,K,21,William E. Grady Career and Technical Education High School,2010,1171,19.4,80.6,3.2,74.6,15.7,0.4000000000000057,6.1,21.4,3.3,88.2,168.0,79.8,20.2,0.0,1087.0,54.09,23.37,41.407399999999996
Brooklyn,21K690,Bensonhurst West,K,21,Brooklyn Studio Secondary School,2010,895,50.8,49.2,10.5,8.5,22.5,0.0,58.5,18.4,6.5,65.2,181.0,81.61,13.1,5.17,567.0,69.31,15.34,58.89000000000001
Brooklyn,21K728,Seagate-Coney Island,K,21,Liberation Diploma Plus,2010,187,52.9,47.1,2.7,45.5,38.5,0.5,12.8,8.0,1.6,88.3,168.0,69.54,29.89,0.0,273.0,49.45,9.89,62.7612
Brooklyn,22K405,Flatbush,K,22,Midwood High School,2010,3986,54.3,45.7,30.9,36.5,11.8,0.19999999999998866,20.6,5.5,3.5,31.7,168.0,92.29,7.71,0.0,3466.0,90.13,3.55,71.49300000000001
Brooklyn,22K425,Madison,K,22,James Madison High School,2010,3145,45.9,54.1,19.4,18.9,15.0,0.30000000000001137,46.4,12.3,12.9,52.0,168.0,90.03,9.97,0.0,4151.0,71.55,16.86,68.88380000000001
Brooklyn,22K535,Manhattan Beach,K,22,Leon M. Goldstein High School for the Sciences,2010,1028,59.5,40.5,12.2,9.8,9.8,0.2999999999999972,67.9,6.5,0.2,36.9,167.0,94.81,5.09,0.0,983.0,92.98,4.48,50.48579999999999
Brooklyn,22K555,Windsor Terrace,K,22,Brooklyn College Academy,2010,620,66.0,34.0,4.8,78.1,14.2,1.0,1.9,2.1,0.6,72.5,173.0,93.52,4.21,2.11,482.0,96.68,0.41,36.71100000000003
Brooklyn,23K493,Ocean Hill,K,23,Brooklyn Collegiate: A College Board School,2010,598,51.0,49.0,2.2,87.1,9.5,0.9000000000000057,0.3,11.2,1.2,88.1,181.0,84.54,11.09,4.2,266.0,74.06,5.64,23.175999999999995
Brooklyn,23K514,Brownsville,K,23,Frederick Douglass Academy VII High School,2010,390,52.1,47.9,0.3,91.0,7.9,0.2999999999999972,0.5,18.2,0.8,81.0,167.0,84.78,14.67,0.54,361.0,78.12,7.76,16.561599999999977
Brooklyn,23K644,Ocean Hill,K,23,Eagle Academy for Young Men II,2010,212,0.0,100.0,0.0,89.2,9.4,-1.4210854715202004e-14,1.4,18.4,1.4,93.9,181.0,94.29,5.24,0.0,,,,19.530400000000004
Brooklyn,23K647,Brownsville,K,23,Metropolitan Diploma Plus High School,2010,220,58.6,41.4,0.5,80.9,18.2,0.3999999999999915,0.0,12.7,3.6,72.8,168.0,63.13,36.36,0.0,271.0,26.94,18.45,31.23539999999998
Brooklyn,23K697,Brownsville,K,23,Teachers Preparatory High School,2010,570,66.7,33.3,1.2,84.7,13.5,0.3999999999999915,0.2,12.3,0.7,81.6,181.0,82.71,12.12,4.99,404.0,79.46,5.69,26.420199999999994
Queens,24Q264,Hunters Point-Sunnyside,Q,24,Academy of Finance and Enterprise,2010,425,53.9,46.1,15.3,10.6,59.1,0.4000000000000057,14.6,9.2,8.0,74.4,168.0,92.43,7.33,0.0,265.0,89.43,3.4,59.47420000000001
Queens,24Q267,Hunters Point-Sunnyside,Q,24,High School of Applied Communication,2010,358,58.1,41.9,11.7,8.9,60.3,0.09999999999999433,19.0,16.2,11.7,78.2,168.0,87.36,12.64,0.0,314.0,82.48,3.82,57.86800000000001
Queens,24Q293,Elmhurst,Q,24,Civic Leadership Academy,2010,327,53.5,46.5,7.6,8.3,77.4,2.6999999999999886,4.0,16.8,13.8,79.1,168.0,88.0,12.0,0.0,,,,38.592999999999996
Queens,24Q296,Elmhurst,Q,24,Pan American International High School,2010,347,47.3,52.7,0.0,0.0,100.0,0.0,0.0,1.2,89.6,69.5,168.0,91.91,8.09,0.0,2.0,0.0,0.0,0.0
Queens,24Q299,Hunters Point-Sunnyside,Q,24,Bard High School Early College Queens,2010,528,62.5,37.5,29.0,18.2,23.9,0.9000000000000057,28.0,0.0,0.8,50.0,168.0,96.37,3.63,0.0,103.0,93.2,0.0,74.7174
Queens,24Q455,Elmhurst,Q,24,Newtown High School,2010,2908,42.0,58.0,23.9,9.1,61.4,0.2999999999999972,5.3,9.2,30.2,53.7,168.0,84.14,15.82,0.0,3273.0,58.63,20.87,55.47839999999999
Queens,24Q485,Ridgewood,Q,24,Grover Cleveland High School,2010,2416,46.0,54.0,7.4,4.8,63.6,0.30000000000001137,23.9,12.0,21.5,47.1,168.0,80.22,19.61,0.08,2963.0,61.8,21.16,53.059400000000004
Queens,24Q520,Hunters Point-Sunnyside,Q,24,Middle College High School at LaGuardia Community,2010,473,50.3,49.7,9.1,11.8,67.7,0.0,11.4,11.4,0.8,74.9,168.0,91.72,8.28,0.0,332.0,77.11,9.34,50.647
Queens,24Q530,Hunters Point-Sunnyside,Q,24,International High School at LaGuardia Community College,2010,475,51.4,48.6,38.5,2.5,48.4,0.09999999999999433,10.5,0.0,76.8,89.8,168.0,92.89,7.11,0.0,461.0,68.33,9.54,60.58680000000001
Queens,24Q550,Corona,Q,24,High School for Arts and Business,2010,784,56.9,43.1,9.3,8.3,79.1,0.4000000000000057,2.9,12.1,11.5,81.3,168.0,88.72,11.15,0.0,727.0,70.56,13.62,35.7924
Queens,24Q560,Hunters Point-Sunnyside,Q,24,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",2010,564,55.9,44.1,20.4,6.4,62.6,0.5,10.1,12.9,3.9,69.8,180.0,85.23,9.19,5.41,365.0,70.14,8.22,55.21860000000001
Queens,24Q600,Hunters Point-Sunnyside,Q,24,Queens Vocational and Technical High School,2010,1316,38.9,61.1,10.2,7.0,73.3,0.0,9.5,13.9,5.2,84.0,168.0,88.55,11.38,0.0,1041.0,72.14,14.89,43.83819999999999
Queens,24Q610,Hunters Point-Sunnyside,Q,24,Aviation Career & Technical Education High School,2010,2119,14.3,85.7,25.3,6.1,58.0,1.3999999999999917,9.2,4.9,3.0,77.4,169.0,94.5,5.45,0.0,1436.0,85.24,2.72,58.721000000000004
Queens,25Q252,Kew Gardens Hills,Q,25,"Queens School of Inquiry, The",2010,493,54.4,45.6,37.9,17.0,26.4,0.9000000000000057,17.8,12.4,3.7,65.3,181.0,91.04,5.5,3.46,,,,72.5998
Queens,25Q263,Murray Hill,Q,25,Flushing International High School,2010,400,44.8,55.3,55.0,1.0,42.0,0.0,2.0,1.5,88.5,92.3,168.0,92.65,7.11,0.0,357.0,68.35,14.29,52.059999999999995
