BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
K551,2008,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.33,1.5,1.6
X090,2008,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.4
X002,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
M044,2008,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.33,1.5,1.4
K072,2008,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.4
X166,2008,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.6
M246,2008,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Q225,2008,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,1.67,2.5,2.8
X399,2008,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.67,1.5,2.0
X540,2008,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.33,3.0,2.0
X216,2008,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,1.67,3.0,2.0
M321,2008,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.67,1.0,1.2
M440,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.5,1.4
Q023,2009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X245,2009,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.4
K332,2009,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.4
X690,2009,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
X541,2009,1.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,2.33,1.5,3.2
K520,2009,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.67,1.5,2.0
M635,2009,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.6
X197,2009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K625,2009,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,2.0,2.0
X198,2009,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.2
K027,2009,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.4
M344,2009,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
X262,2009,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,1.5,2.8
M317,2009,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.33,2.0,2.8
M470,2009,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.67,2.0,1.8
X475,2010,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.8
X102,2010,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
K103,2010,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.4
M195,2010,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.67,3.0,2.0
K571,2010,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.67,1.5,2.4
k616,2010,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.5,2.2
X239,2010,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
k614,2010,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
K260,2010,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.5,1.6
q301,2010,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0
k617,2010,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.33,1.5,2.0
M045,2010,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,1.5,2.0
K336,2011,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.67,2.5,2.8
X203,2011,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.67,3.0,2.4
X295,2011,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.5,1.8
Q030,2011,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.33,3.0,2.8
X415,2011,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.5,3.8
Q410,2011,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.6
X660,2011,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.2
Q231,2011,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.33,3.0,2.4
M460,2011,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.6
K019,2011,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.67,2.0,2.4
