BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
X059,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.33,1.0,1.6
X125,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.67,2.0,2.8
K055,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0
K073,2007,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.67,2.0,1.8
K299,2007,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.33,1.5,1.6
K306,2007,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.67,2.0,2.2
K328,2007,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.5,1.8
K347,2007,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
K349,2007,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.8
K383,2007,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.33,2.0,2.8
K493,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K753,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K957,2007,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6
Q007,2007,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.67,1.5,1.6
Q069,2007,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.67,2.0,1.8
Q141,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.5,1.2
X035,2007,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.33,2.0,1.2
X086,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X360,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.67,2.0,1.6
K116,2007,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.67,1.5,1.6
K162,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
K291,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
M285,2007,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.67,1.5,1.4
Q126,2007,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.33,1.5,1.4
Q189,2007,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.33,1.0,1.4
Q204,2007,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.67,2.0,2.4
X004,2007,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
X095,2007,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.67,1.0,1.2
X280,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
X334,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.6
Q019,2007,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
K059,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,2.2
K075,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.67,2.0,1.8
K274,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.4
K279,2007,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.33,1.5,1.4
K337,2007,,,,,,,,,,,,,
K429,2007,,,,,,,,,,,,,
K439,2007,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.33,1.5,1.4
K659,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,2.0,2.0
M479,2007,,,,,,,,,,,,,
M560,2007,,,,,,,,,,,,,
Q112,2007,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,3.0,2.4
Q183,2007,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.2
Q222,2007,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,3.0,2.4
Q232,2007,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.5,1.0
Q254,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.33,1.0,1.6
Q520,2007,,,,,,,,,,,,,
Q560,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.4
X245,2007,,,,,,,,,,,,,
X331,2007,,,,,,,,,,,,,
K013,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.33,1.0,1.2
K151,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.2
K157,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.33,1.0,1.6
K260,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.5,1.8
K302,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
K524,2007,,,,,,,,,,,,,
M459,2007,,,,,,,,,,,,,
Q063,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q066,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
Q089,2007,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
Q093,2007,,,,,,,,,,,,,
Q097,2007,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.67,1.5,1.8
Q100,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.5,1.4
Q106,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.6
Q123,2007,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.4
Q124,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q146,2007,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.4
Q155,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.33,1.0,1.4
Q225,2007,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
Q530,2007,,,,,,,,,,,,,
X023,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X332,2007,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,3.0,2.4
X519,2007,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.33,1.5,1.8
K045,2007,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.67,1.5,2.0
K106,2007,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.33,1.5,1.6
K123,2007,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.2
K156,2007,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.33,2.0,1.6
K183,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
K290,2007,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.33,1.0,1.6
K376,2007,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.33,1.0,1.6
K454,2007,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.67,1.5,1.8
K685,2007,,,,,,,,,,,,,
Q043,2007,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.5,1.4
Q051,2007,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.2
Q060,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q096,2007,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.67,2.0,1.6
Q108,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q197,2007,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.67,1.0,1.6
Q566,2007,,,,,,,,,,,,,
Q650,2007,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.4
X072,2007,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.6
X403,2007,,,,,,,,,,,,,
X547,2007,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.67,2.0,3.2
K155,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K323,2007,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.33,1.5,2.2
M050,2007,,,,,,,,,,,,,
M294,2007,,,,,,,,,,,,,
M495,2007,,,,,,,,,,,,,
Q045,2007,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.4
Q105,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q207,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.2
Q253,2007,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.33,1.0,1.4
Q263,2007,,,,,,,,,,,,,
X088,2007,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.33,2.0,1.6
X262,2007,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.67,2.0,2.8
X322,2007,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.8
K007,2007,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.33,1.0,1.2
M199,2007,,,,,,,,,,,,,
M696,2007,,,,,,,,,,,,,
Q062,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q215,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q223,2007,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.33,1.5,1.8
Q262,2007,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.67,1.5,1.4
X071,2007,,,,,,,,,,,,,
X230,2007,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.67,2.0,2.4
K065,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K145,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0
K150,2007,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.33,2.0,2.4
K165,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K184,2007,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.6
K284,2007,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.2
K345,2007,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4
K377,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K384,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.2
Q042,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
Q090,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q114,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
Q600,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X003,2007,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5,1.6
X114,2007,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0
K108,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K159,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K224,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
K298,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.2
K332,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
K346,2007,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.67,1.5,2.0
K522,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
K527,2007,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.33,2.0,1.6
Q064,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.8
Q070,2007,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.67,1.0,1.2
Q127,2007,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.8
Q152,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.5,1.4
X145,2007,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
K158,2007,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.2
K190,2007,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,3.0,2.0
K545,2007,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.33,1.5,2.0
Q283,2007,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Q285,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.5,1.6
Q333,2007,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.33,1.5,1.6
K404,2007,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.67,1.5,2.0
K484,2007,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.33,3.0,2.4
K489,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M313,2007,,,,,,,,,,,,,
M344,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.4
M346,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.8
M349,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.4
M369,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.5,1.8
Q017,2007,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.67,1.5,1.6
Q135,2007,,,,,,,,,,,,,
K213,2007,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.8
K382,2007,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.4
K503,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.67,2.0,1.6
M125,2007,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.33,1.5,1.8
M208,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
M449,2007,,,,,,,,,,,,,
M540,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,2.0,2.0
Q104,2007,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.33,1.0,1.4
Q281,2007,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.67,2.0,2.4
Q580,2007,,,,,,,,,,,,,
Q752,2007,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.33,2.0,1.6
X682,2007,,,,,,,,,,,,,
K412,2007,2.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.67,1.5,2.2
K449,2007,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.67,3.0,1.8
K452,2007,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.33,2.0,2.0
K492,2007,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.33,1.5,1.4
K518,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.4
M329,2007,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.67,3.0,3.6
M348,2007,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
M469,2007,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.67,2.0,2.4
M497,2007,,,,,,,,,,,,,
M570,2007,,,,,,,,,,,,,
Q085,2007,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0
Q150,2007,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.67,1.0,1.4
M407,2007,,,,,,,,,,,,,
X265,2007,,,,,,,,,,,,,
K245,2007,2.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.5,2.4
Q535,2007,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.67,2.0,2.4
K061,2008,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.4
K101,2008,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.33,3.0,1.4
K222,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K246,2008,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.4
K315,2008,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
K326,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2
Q018,2008,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.67,1.5,1.6
Q067,2008,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,1.2
Q159,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q166,2008,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2
Q188,2008,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,2.2
Q266,2008,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.33,3.0,1.6
Q450,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
R006,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K115,2008,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
K109,2008,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2
K198,2008,2.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.67,4.0,2.8
K236,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2
K254,2008,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
K269,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K312,2008,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
Q024,2008,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.4
Q080,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
Q196,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
Q495,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
K251,2008,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.33,1.5,1.0
Q049,2008,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,2.5,1.0
K114,2008,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.33,4.0,3.6
K207,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
K278,2008,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
K285,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q022,2008,2.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,1.67,3.0,2.2
Q094,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.5,1.6
Q120,2008,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,1.33,3.0,1.8
Q133,2008,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
Q158,2008,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,2.2
Q415,2008,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.67,1.5,1.2
K119,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,1.2
K134,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K600,2008,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.2
Q098,2008,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.67,3.0,1.6
Q237,2008,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.5,2.0
Q440,2008,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,1.33,4.0,2.8
K195,2008,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.5,1.0
K277,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K361,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
Q021,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q032,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
Q079,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q115,2008,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.33,2.0,1.6
Q205,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
Q498,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.5,1.6
Q670,2008,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,4.0,1.33,2.5,1.8
K068,2008,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.6
K206,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q074,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
Q130,2008,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.67,2.5,1.6
Q221,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q242,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q272,2008,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.33,2.0,1.6
Q494,2008,1.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,1.67,4.0,2.6
Q496,2008,2.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.67,4.0,2.0
Q680,2008,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.67,2.0,2.2
K181,2008,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.2
K187,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
Q031,2008,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.2
Q107,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q116,2008,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.33,2.0,1.2
Q129,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.2
Q160,2008,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.33,1.5,1.2
